t,zone,soc,reachable,num_reachable,req_de_all,min_de_any,n_expected,n_finite
11,317,5,0,0,10.0,10.0,1,1
11,317,10,1,1,10.0,10.0,1,1
11,317,15,1,1,10.0,10.0,1,1
11,317,20,1,1,10.0,10.0,1,1
11,317,25,1,1,10.0,10.0,1,1
11,317,30,1,1,10.0,10.0,1,1
11,317,35,1,1,10.0,10.0,1,1
11,317,40,1,1,10.0,10.0,1,1
11,317,45,1,1,10.0,10.0,1,1
11,317,50,1,1,10.0,10.0,1,1
11,317,55,1,1,10.0,10.0,1,1
11,317,60,1,1,10.0,10.0,1,1
11,317,65,1,1,10.0,10.0,1,1
11,317,70,1,1,10.0,10.0,1,1
11,317,75,1,1,10.0,10.0,1,1
11,317,80,1,1,10.0,10.0,1,1
11,317,85,1,1,10.0,10.0,1,1
11,317,90,1,1,10.0,10.0,1,1
11,317,95,1,1,10.0,10.0,1,1
11,317,100,1,1,10.0,10.0,1,1
12,308,0,0,0,5.0,5.0,1,1
12,308,5,1,1,5.0,5.0,1,1
12,308,10,1,1,5.0,5.0,1,1
12,308,15,1,1,5.0,5.0,1,1
12,308,20,1,1,5.0,5.0,1,1
12,308,25,1,1,5.0,5.0,1,1
12,308,30,1,1,5.0,5.0,1,1
12,308,35,1,1,5.0,5.0,1,1
12,308,40,1,1,5.0,5.0,1,1
12,308,45,1,1,5.0,5.0,1,1
12,308,50,1,1,5.0,5.0,1,1
12,308,55,1,1,5.0,5.0,1,1
12,308,60,1,1,5.0,5.0,1,1
12,308,65,1,1,5.0,5.0,1,1
12,308,70,1,1,5.0,5.0,1,1
12,308,75,1,1,5.0,5.0,1,1
12,308,80,1,1,5.0,5.0,1,1
12,308,85,1,1,5.0,5.0,1,1
12,308,90,1,1,5.0,5.0,1,1
12,308,95,1,1,5.0,5.0,1,1
12,308,100,1,1,5.0,5.0,1,1
12,317,0,0,0,10.0,10.0,1,1
12,317,5,0,0,10.0,10.0,1,1
12,317,10,1,1,10.0,10.0,1,1
12,317,15,1,1,10.0,10.0,1,1
12,317,20,1,1,10.0,10.0,1,1
12,317,25,1,1,10.0,10.0,1,1
12,317,30,1,1,10.0,10.0,1,1
12,317,35,1,1,10.0,10.0,1,1
12,317,40,1,1,10.0,10.0,1,1
12,317,45,1,1,10.0,10.0,1,1
12,317,50,1,1,10.0,10.0,1,1
12,317,55,1,1,10.0,10.0,1,1
12,317,60,1,1,10.0,10.0,1,1
12,317,65,1,1,10.0,10.0,1,1
12,317,70,1,1,10.0,10.0,1,1
12,317,75,1,1,10.0,10.0,1,1
12,317,80,1,1,10.0,10.0,1,1
12,317,85,1,1,10.0,10.0,1,1
12,317,90,1,1,10.0,10.0,1,1
12,317,95,1,1,10.0,10.0,1,1
12,317,100,1,1,10.0,10.0,1,1
13,308,0,0,0,5.0,5.0,1,1
13,308,5,1,1,5.0,5.0,1,1
13,308,10,1,1,5.0,5.0,1,1
13,308,15,1,1,5.0,5.0,1,1
13,308,20,1,1,5.0,5.0,1,1
13,308,25,1,1,5.0,5.0,1,1
13,308,30,1,1,5.0,5.0,1,1
13,308,35,1,1,5.0,5.0,1,1
13,308,40,1,1,5.0,5.0,1,1
13,308,45,1,1,5.0,5.0,1,1
13,308,50,1,1,5.0,5.0,1,1
13,308,55,1,1,5.0,5.0,1,1
13,308,60,1,1,5.0,5.0,1,1
13,308,65,1,1,5.0,5.0,1,1
13,308,70,1,1,5.0,5.0,1,1
13,308,75,1,1,5.0,5.0,1,1
13,308,80,1,1,5.0,5.0,1,1
13,308,85,1,1,5.0,5.0,1,1
13,308,90,1,1,5.0,5.0,1,1
13,308,95,1,1,5.0,5.0,1,1
13,308,100,1,1,5.0,5.0,1,1
13,317,0,0,0,10.0,10.0,1,1
13,317,5,0,0,10.0,10.0,1,1
13,317,10,1,1,10.0,10.0,1,1
13,317,15,1,1,10.0,10.0,1,1
13,317,20,1,1,10.0,10.0,1,1
13,317,25,1,1,10.0,10.0,1,1
13,317,30,1,1,10.0,10.0,1,1
13,317,35,1,1,10.0,10.0,1,1
13,317,40,1,1,10.0,10.0,1,1
13,317,45,1,1,10.0,10.0,1,1
13,317,50,1,1,10.0,10.0,1,1
13,317,55,1,1,10.0,10.0,1,1
13,317,60,1,1,10.0,10.0,1,1
13,317,65,1,1,10.0,10.0,1,1
13,317,70,1,1,10.0,10.0,1,1
13,317,75,1,1,10.0,10.0,1,1
13,317,80,1,1,10.0,10.0,1,1
13,317,85,1,1,10.0,10.0,1,1
13,317,90,1,1,10.0,10.0,1,1
13,317,95,1,1,10.0,10.0,1,1
13,317,100,1,1,10.0,10.0,1,1
14,308,0,0,0,5.0,5.0,1,1
14,308,5,1,1,5.0,5.0,1,1
14,308,10,1,1,5.0,5.0,1,1
14,308,15,1,1,5.0,5.0,1,1
14,308,20,1,1,5.0,5.0,1,1
14,308,25,1,1,5.0,5.0,1,1
14,308,30,1,1,5.0,5.0,1,1
14,308,35,1,1,5.0,5.0,1,1
14,308,40,1,1,5.0,5.0,1,1
14,308,45,1,1,5.0,5.0,1,1
14,308,50,1,1,5.0,5.0,1,1
14,308,55,1,1,5.0,5.0,1,1
14,308,60,1,1,5.0,5.0,1,1
14,308,65,1,1,5.0,5.0,1,1
14,308,70,1,1,5.0,5.0,1,1
14,308,75,1,1,5.0,5.0,1,1
14,308,80,1,1,5.0,5.0,1,1
14,308,85,1,1,5.0,5.0,1,1
14,308,90,1,1,5.0,5.0,1,1
14,308,95,1,1,5.0,5.0,1,1
14,308,100,1,1,5.0,5.0,1,1
14,317,0,0,0,10.0,10.0,1,1
14,317,5,0,0,10.0,10.0,1,1
14,317,10,1,1,10.0,10.0,1,1
14,317,15,1,1,10.0,10.0,1,1
14,317,20,1,1,10.0,10.0,1,1
14,317,25,1,1,10.0,10.0,1,1
14,317,30,1,1,10.0,10.0,1,1
14,317,35,1,1,10.0,10.0,1,1
14,317,40,1,1,10.0,10.0,1,1
14,317,45,1,1,10.0,10.0,1,1
14,317,50,1,1,10.0,10.0,1,1
14,317,55,1,1,10.0,10.0,1,1
14,317,60,1,1,10.0,10.0,1,1
14,317,65,1,1,10.0,10.0,1,1
14,317,70,1,1,10.0,10.0,1,1
14,317,75,1,1,10.0,10.0,1,1
14,317,80,1,1,10.0,10.0,1,1
14,317,85,1,1,10.0,10.0,1,1
14,317,90,1,1,10.0,10.0,1,1
14,317,95,1,1,10.0,10.0,1,1
14,317,100,1,1,10.0,10.0,1,1
15,308,0,0,0,5.0,5.0,1,1
15,308,5,1,1,5.0,5.0,1,1
15,308,10,1,1,5.0,5.0,1,1
15,308,15,1,1,5.0,5.0,1,1
15,308,20,1,1,5.0,5.0,1,1
15,308,25,1,1,5.0,5.0,1,1
15,308,30,1,1,5.0,5.0,1,1
15,308,35,1,1,5.0,5.0,1,1
15,308,40,1,1,5.0,5.0,1,1
15,308,45,1,1,5.0,5.0,1,1
15,308,50,1,1,5.0,5.0,1,1
15,308,55,1,1,5.0,5.0,1,1
15,308,60,1,1,5.0,5.0,1,1
15,308,65,1,1,5.0,5.0,1,1
15,308,70,1,1,5.0,5.0,1,1
15,308,75,1,1,5.0,5.0,1,1
15,308,80,1,1,5.0,5.0,1,1
15,308,85,1,1,5.0,5.0,1,1
15,308,90,1,1,5.0,5.0,1,1
15,308,95,1,1,5.0,5.0,1,1
15,308,100,1,1,5.0,5.0,1,1
15,317,0,0,0,10.0,10.0,1,1
15,317,5,0,0,10.0,10.0,1,1
15,317,10,1,1,10.0,10.0,1,1
15,317,15,1,1,10.0,10.0,1,1
15,317,20,1,1,10.0,10.0,1,1
15,317,25,1,1,10.0,10.0,1,1
15,317,30,1,1,10.0,10.0,1,1
15,317,35,1,1,10.0,10.0,1,1
15,317,40,1,1,10.0,10.0,1,1
15,317,45,1,1,10.0,10.0,1,1
15,317,50,1,1,10.0,10.0,1,1
15,317,55,1,1,10.0,10.0,1,1
15,317,60,1,1,10.0,10.0,1,1
15,317,65,1,1,10.0,10.0,1,1
15,317,70,1,1,10.0,10.0,1,1
15,317,75,1,1,10.0,10.0,1,1
15,317,80,1,1,10.0,10.0,1,1
15,317,85,1,1,10.0,10.0,1,1
15,317,90,1,1,10.0,10.0,1,1
15,317,95,1,1,10.0,10.0,1,1
15,317,100,1,1,10.0,10.0,1,1
